month,date_of_month,births
8,18,11287.5
8,19,11205.4
8,20,11688.233333333334
8,21,11781.3
8,22,11928.233333333334
8,23,11654.2
8,24,11158.933333333332
8,25,10997.166666666666
8,26,11430.933333333332
8,27,11761.833333333334
8,28,12136.966666666667
8,29,12181.533333333333
8,30,11791.666666666666
8,31,11171.533333333333
9,1,10477.866666666667
9,2,10596.3
9,3,11151.566666666668
9,4,11569.5
9,5,12108.933333333332
9,6,11580.366666666667
9,7,11193.5
9,8,11736.733333333334
9,9,11999.933333333332
9,10,12274.833333333334
9,11,11734.033333333333
9,12,12402.733333333334
9,13,11857.266666666666
9,14,11441.3
9,15,11533.633333333333
9,16,11738.466666666667
9,17,12156.433333333332
9,18,12452.2
9,19,12459.066666666668
9,20,12197.366666666667
9,21,11421.233333333334
9,22,11380.133333333333
9,23,11552.4
9,24,12130.933333333332
9,25,12037.366666666667
9,26,12241.0
9,27,11797.4
9,28,11136.6
9,29,11122.0
9,30,11266.466666666667
10,1,11890.033333333333
10,2,11774.233333333334
10,3,11850.2
10,4,11577.633333333333
10,5,11130.466666666667
10,6,11148.9
10,7,11315.8
10,8,11376.4
10,9,11547.3
10,10,11841.733333333334
10,11,11245.4
10,12,10975.4
10,13,10534.133333333333
10,14,10880.6
10,15,11195.033333333333
10,16,11326.1
10,17,11487.4
10,18,11125.7
10,19,10673.966666666667
10,20,10678.066666666668
10,21,10873.766666666666
10,22,11433.2
10,23,11363.9
10,24,11625.7
10,25,11372.966666666667
10,26,10863.433333333332
10,27,10835.4
10,28,11075.4
10,29,11303.633333333333
10,30,11162.566666666668
10,31,10163.866666666667
11,1,11328.6
11,2,10719.6
11,3,10920.966666666667
11,4,10974.466666666667
11,5,11462.9
11,6,11559.966666666667
11,7,11369.566666666668
11,8,11315.9
11,9,10723.533333333333
11,10,10637.233333333334
11,11,10928.1
11,12,11465.433333333332
11,13,11299.433333333332
11,14,11404.7
11,15,11532.966666666667
11,16,10811.733333333334
11,17,10828.833333333334
11,18,11151.433333333332
11,19,11450.233333333334
11,20,11664.9
11,21,11728.8
11,22,10778.633333333333
11,23,9580.066666666668
11,24,10138.733333333334
11,25,9881.7
11,26,10581.033333333333
11,27,10028.1
11,28,10114.266666666666
11,29,10582.766666666666
11,30,10556.733333333334
12,1,10830.8
12,2,11031.533333333333
12,3,11436.566666666668
12,4,11406.633333333333
12,5,11508.8
12,6,10962.933333333332
12,7,10414.366666666667
12,8,10565.733333333334
12,9,10897.566666666668
12,10,11180.666666666666
12,11,11209.333333333334
12,12,11596.633333333333
12,13,11093.133333333333
12,14,10865.2
12,15,10991.666666666666
12,16,11249.766666666666
12,17,11773.766666666666
12,18,12052.933333333332
12,19,12210.9
12,20,12050.366666666667
12,21,11263.8
12,22,11019.133333333333
12,23,10458.1
12,24,8516.2
12,25,6897.766666666666
12,26,9857.166666666666
12,27,12160.0
12,28,11484.866666666667
12,29,11577.433333333332
12,30,11688.066666666668
12,31,10537.633333333333
