year,month,date_of_month,day_of_week,births
2006,1,30,7,7603
2006,1,31,1,10882
2006,2,1,2,12359
2006,2,2,3,12082
2006,2,3,4,11806
2006,2,4,5,11828
2006,2,5,6,8474
2006,2,6,7,7730
2006,2,7,1,11375
2006,2,8,2,12591
2006,2,9,3,12024
2006,2,10,4,12339
2006,2,11,5,12182
2006,2,12,6,8674
2006,2,13,7,7801
2006,2,14,1,11920
2006,2,15,2,12711
2006,2,16,3,12256
2006,2,17,4,12274
2006,2,18,5,12162
2006,2,19,6,8693
2006,2,20,7,7763
2006,2,21,1,10406
2006,2,22,2,12401
2006,2,23,3,11972
2006,2,24,4,12160
2006,2,25,5,11971
2006,2,26,6,8847
2006,2,27,7,7716
2006,2,28,1,11215
2006,2,29,2,11645
2006,3,1,3,12407
2006,3,2,4,12261
2006,3,3,5,12120
2006,3,4,6,8861
2006,3,5,7,7599
2006,3,6,1,11122
2006,3,7,2,12133
2006,3,8,3,12061
2006,3,9,4,12303
2006,3,10,5,11898
2006,3,11,6,8657
2006,3,12,7,7762
2006,3,13,1,10946
2006,3,14,2,12523
2006,3,15,3,12114
2006,3,16,4,12154
2006,3,17,5,12147
2006,3,18,6,8502
2006,3,19,7,7623
2006,3,20,1,11281
2006,3,21,2,12370
2006,3,22,3,12047
2006,3,23,4,12168
2006,3,24,5,12104
2006,3,25,6,8975
2006,3,26,7,7675
2006,3,27,1,11051
2006,3,28,2,12394
2006,3,29,3,11806
2006,3,30,4,11851
2006,3,31,5,11638
2006,4,1,6,8238
2006,4,2,7,7419
2006,4,3,1,11178
2006,4,4,2,12523
2006,4,5,3,11946
2006,4,6,4,11929
2006,4,7,5,12004
2006,4,8,6,8583
2006,4,9,7,7628
2006,4,10,1,11108
2006,4,11,2,12567
2006,4,12,3,12241
2006,4,13,4,11677
2006,4,14,5,11829
2006,4,15,6,8718
2006,4,16,7,7725
2006,4,17,1,11115
2006,4,18,2,12525
2006,4,19,3,12251
2006,4,20,4,12055
2006,4,21,5,11080
2006,4,22,6,8233
2006,4,23,7,7375
2006,4,24,1,11109
2006,4,25,2,12237
2006,4,26,3,11994
2006,4,27,4,12013
2006,4,28,5,11785
2006,4,29,6,8580
2006,4,30,7,7515
2006,5,1,1,11399
2006,5,2,2,12692
2006,5,3,3,12017
2006,5,4,4,12212
2006,5,5,5,12252
2006,5,6,6,8689
2006,5,7,7,7675
2006,5,8,1,11384
2006,5,9,2,12470
2006,5,10,3,12342
2006,5,11,4,12185
2006,5,12,5,11928
2006,5,13,6,8569
2006,5,14,7,7495
2006,5,15,1,11316
2006,5,16,2,12581
2006,5,17,3,12487
2006,5,18,4,12336
2006,5,19,5,11961
2006,5,20,6,8476
2006,5,21,7,7741
2006,5,22,1,11365
2006,5,23,2,12806
2006,5,24,3,12427
2006,5,25,4,12752
2006,5,26,5,12503
2006,5,27,6,8866
2006,5,28,7,7758
2006,5,29,1,8099
2006,5,30,2,11699
2006,5,31,3,12725
2006,6,1,4,13114
2006,6,2,5,12428
2006,6,3,6,8776
2006,6,4,7,7860
2006,6,5,1,11458
2006,6,6,2,12434
2006,6,7,3,12217
2006,6,8,4,12508
2006,6,9,5,12275
2006,6,10,6,8956
2006,6,11,7,7961
2006,6,12,1,11580
2006,6,13,2,12416
2006,6,14,3,12599
2006,6,15,4,12528
2006,6,16,5,12524
2006,6,17,6,8981
2006,6,18,7,8024
2006,6,19,1,11425
2006,6,20,2,12764
2006,6,21,3,12497
2006,6,22,4,12561
2006,6,23,5,12364
2006,6,24,6,8952
2006,6,25,7,8057
2006,6,26,1,11914
2006,6,27,2,13103
2006,6,28,3,12776
2006,6,29,4,13184
2006,6,30,5,12970
2006,7,1,6,9215
2006,7,2,7,7933
2006,7,3,1,11080
2006,7,4,2,9394
2006,7,5,3,12078
2006,7,6,4,13558
2006,7,7,5,13372
2006,7,8,6,9479
2006,7,9,7,8435
2006,7,10,1,12161
2006,7,11,2,13267
2006,7,12,3,12543
2006,7,13,4,12684
2006,7,14,5,12941
2006,7,15,6,9392
2006,7,16,7,8313
2006,7,17,1,11876
2006,7,18,2,13354
2006,7,19,3,12718
2006,7,20,4,12855
2006,7,21,5,12767
2006,7,22,6,9269
2006,7,23,7,8011
2006,7,24,1,11916
2006,7,25,2,12943
2006,7,26,3,12700
2006,7,27,4,12849
2006,7,28,5,12654
2006,7,29,6,9303
2006,7,30,7,8289
2006,7,31,1,11626
2006,8,1,2,13081
2006,8,2,3,12489
2006,8,3,4,12834
2006,8,4,5,12681
2006,8,5,6,9236
2006,8,6,7,8201
2006,8,7,1,11628
2006,8,8,2,13334
2006,8,9,3,12926
2006,8,10,4,12694
2006,8,11,5,12478
2006,8,12,6,9072
2006,8,13,7,8174
2006,8,14,1,11638
2006,8,15,2,13067
2006,8,16,3,12876
2006,8,17,4,12828
2006,8,18,5,12839
2006,8,19,6,9102
2006,8,20,7,8122
2006,8,21,1,11711
2006,8,22,2,13172
2006,8,23,3,12685
2006,8,24,4,12737
2006,8,25,5,12623
2006,8,26,6,9193
2006,8,27,7,8086
2006,8,28,1,11794
2006,8,29,2,12922
2006,8,30,3,12805
2006,8,31,4,13052
2006,9,1,5,12826
2006,9,2,6,9066
2006,9,3,7,8080
2006,9,4,1,8412
2006,9,5,2,11871
2006,9,6,3,13577
2006,9,7,4,13194
2006,9,8,5,13166
2006,9,9,6,9617
2006,9,10,7,8354
2006,9,11,1,12091
2006,9,12,2,13263
2006,9,13,3,12965
2006,9,14,4,13432
2006,9,15,5,13245
2006,9,16,6,9580
2006,9,17,7,8512
2006,9,18,1,12244
2006,9,19,2,13533
2006,9,20,3,13384
2006,9,21,4,13050
2006,9,22,5,12893
2006,9,23,6,9304
2006,9,24,7,8392
2006,9,25,1,12150
2006,9,26,2,13210
2006,9,27,3,13137
2006,9,28,4,13202
2006,9,29,5,12724
2006,9,30,6,9135
2006,10,1,7,8279
2006,10,2,1,11905
2006,10,3,2,12969
2006,10,4,3,12841
2006,10,5,4,12943
2006,10,6,5,12491
2006,10,7,6,8925
2006,10,8,7,7956
2006,10,9,1,11022
2006,10,10,2,12750
2006,10,11,3,12564
2006,10,12,4,12756
2006,10,13,5,11468
2006,10,14,6,8985
2006,10,15,7,7972
2006,10,16,1,11702
2006,10,17,2,12805
2006,10,18,3,12470
2006,10,19,4,12195
2006,10,20,5,12146
2006,10,21,6,8765
2006,10,22,7,7772
2006,10,23,1,11526
2006,10,24,2,12685
2006,10,25,3,12463
2006,10,26,4,12475
2006,10,27,5,12051
2006,10,28,6,8790
2006,10,29,7,7954
2006,10,30,1,11227
2006,10,31,2,11069
2006,11,1,3,12579
2006,11,2,4,12734
2006,11,3,5,12329
2006,11,4,6,8853
2006,11,5,7,7890
2006,11,6,1,11520
2006,11,7,2,12592
2006,11,8,3,12506
2006,11,9,4,12502
2006,11,10,5,12300
2006,11,11,6,9052
2006,11,12,7,7874
2006,11,13,1,11129
2006,11,14,2,12776
2006,11,15,3,12623
2006,11,16,4,12706
2006,11,17,5,12606
2006,11,18,6,8906
2006,11,19,7,7872
2006,11,20,1,12625
2006,11,21,2,13672
2006,11,22,3,12038
2006,11,23,4,7939
2006,11,24,5,9539
2006,11,25,6,8320
2006,11,26,7,7793
2006,11,27,1,11831
2006,11,28,2,13446
2006,11,29,3,12786
2006,11,30,4,12473
2006,12,1,5,12219
2006,12,2,6,8622
2006,12,3,7,7748
2006,12,4,1,11176
2006,12,5,2,12607
2006,12,6,3,12363
2006,12,7,4,12498
2006,12,8,5,12263
2006,12,9,6,8635
2006,12,10,7,7807
2006,12,11,1,11506
2006,12,12,2,13189
2006,12,13,3,12214
2006,12,14,4,12313
2006,12,15,5,12368
2006,12,16,6,8981
2006,12,17,7,7845
2006,12,18,1,12276
2006,12,19,2,13430
2006,12,20,3,13391
2006,12,21,4,13146
2006,12,22,5,11937
2006,12,23,6,8294
2006,12,24,7,6801
2006,12,25,1,6566
2006,12,26,2,10070
2006,12,27,3,12858
2006,12,28,4,13532
2006,12,29,5,13234
2006,12,30,6,9177
2006,12,31,7,7721
2007,1,1,1,7437
2007,1,2,2,10346
2007,1,3,3,12113
2007,1,4,4,12429
2007,1,5,5,12427
2007,1,6,6,9019
2007,1,7,7,7747
2007,1,8,1,11239
2007,1,9,2,12105
2007,1,10,3,12160
2007,1,11,4,12155
2007,1,12,5,12464
2007,1,13,6,8647
2007,1,14,7,7674
2007,1,15,1,10720
2007,1,16,2,12041
2007,1,17,3,12046
2007,1,18,4,12362
2007,1,19,5,12044
2007,1,20,6,8602
2007,1,21,7,7668
2007,1,22,1,11219
2007,1,23,2,12176
2007,1,24,3,12046
2007,1,25,4,12316
2007,1,26,5,11993
2007,1,27,6,8640
2007,1,28,7,7641
2007,1,29,1,11269
2007,1,30,2,12237
2007,1,31,3,12216
2007,2,1,4,12186
2007,2,2,5,12188
2007,2,3,6,8476
2007,2,4,7,7608
2007,2,5,1,11546
2007,2,6,2,12247
2007,2,7,3,12091
2007,2,8,4,12147
2007,2,9,5,12086
2007,2,10,6,8637
2007,2,11,7,7437
2007,2,12,1,11413
2007,2,13,2,12012
2007,2,14,3,12890
2007,2,15,4,12407
